version,N,steps,threads,time_sec
seq,64,1000,1,0.0236475
seq,512,1000,1,1.25299
seq,1024,1000,1,4.99316
seq,2048,1000,1,19.9395
seq,4096,1000,1,79.7477
omp,64,1000,1,0.0256426
omp,512,1000,1,1.26392
omp,1024,1000,1,5.03074
omp,2048,1000,1,20.111
omp,4096,1000,1,80.4324
omp,64,1000,2,0.0210384
omp,512,1000,2,0.645518
omp,1024,1000,2,2.56342
omp,2048,1000,2,10.0776
omp,4096,1000,2,40.2605
omp,64,1000,4,0.017919
omp,512,1000,4,0.354347
omp,1024,1000,4,1.31812
omp,2048,1000,4,5.12039
omp,4096,1000,4,20.2888
omp,64,1000,8,0.0175993
omp,512,1000,8,0.203918
omp,1024,1000,8,0.702557
omp,2048,1000,8,2.62902
omp,4096,1000,8,10.2472
cuda,64,1000,0,0.0114478
cuda,512,1000,0,0.0348861
cuda,1024,1000,0,0.0661504
cuda,2048,1000,0,0.12617
cuda,4096,1000,0,0.224646
